option,date,timestamp_ms,datetime_et,price,size,exchange,conditions
O:SPY240322P00470000,2024-03-14,1710430250558,2024-03-14T11:30:50.558000-04:00,0.14,1,312,[209]
O:SPY240322P00470000,2024-03-14,1710430250558,2024-03-14T11:30:50.558000-04:00,0.14,5,304,[209]
O:SPY240322P00470000,2024-03-14,1710430250558,2024-03-14T11:30:50.558000-04:00,0.14,1,302,[209]
O:SPY240322P00470000,2024-03-14,1710430250558,2024-03-14T11:30:50.558000-04:00,0.14,2,302,[209]
O:SPY240322P00470000,2024-03-14,1710430250558,2024-03-14T11:30:50.558000-04:00,0.14,1,302,[209]
O:SPY240322P00470000,2024-03-14,1710430250558,2024-03-14T11:30:50.558000-04:00,0.14,5,313,[209]
O:SPY240322P00470000,2024-03-14,1710430152929,2024-03-14T11:29:12.929000-04:00,0.13,20,302,[227]
O:SPY240322P00470000,2024-03-14,1710427677372,2024-03-14T10:47:57.372000-04:00,0.12,10,301,[219]
O:SPY240322P00470000,2024-03-14,1710426815339,2024-03-14T10:33:35.339000-04:00,0.12,6,312,[209]
O:SPY240322P00470000,2024-03-14,1710426815205,2024-03-14T10:33:35.205000-04:00,0.12,10,325,[209]
O:SPY240322P00470000,2024-03-14,1710426357901,2024-03-14T10:25:57.901000-04:00,0.13,1,302,[209]
O:SPY240322P00470000,2024-03-14,1710426357901,2024-03-14T10:25:57.901000-04:00,0.13,49,302,[209]
O:SPY240322P00470000,2024-03-14,1710424308094,2024-03-14T09:51:48.094000-04:00,0.12,5,308,[236]
O:SPY240322P00470000,2024-03-14,1710423975099,2024-03-14T09:46:15.099000-04:00,0.1,1,308,[233]
O:SPY240322P00470000,2024-03-15,1710532095875,2024-03-15T15:48:15.875000-04:00,0.07,2,301,[236]
O:SPY240322P00470000,2024-03-15,1710530471440,2024-03-15T15:21:11.440000-04:00,0.07,1,322,[236]
O:SPY240322P00470000,2024-03-15,1710528391500,2024-03-15T14:46:31.500000-04:00,0.09,5,309,[219]
O:SPY240322P00470000,2024-03-15,1710525529695,2024-03-15T13:58:49.695000-04:00,0.09,5,302,[233]
O:SPY240322P00470000,2024-03-15,1710522851170,2024-03-15T13:14:11.170000-04:00,0.1,27,300,[227]
O:SPY240322P00470000,2024-03-15,1710522278186,2024-03-15T13:04:38.186000-04:00,0.12,1,313,[236]
O:SPY240322P00470000,2024-03-15,1710521709914,2024-03-15T12:55:09.914000-04:00,0.11,1,313,[209]
O:SPY240322P00470000,2024-03-15,1710521019583,2024-03-15T12:43:39.583000-04:00,0.1,2,313,[209]
O:SPY240322P00470000,2024-03-15,1710520432956,2024-03-15T12:33:52.956000-04:00,0.09,2,308,[236]
O:SPY240322P00470000,2024-03-15,1710520417165,2024-03-15T12:33:37.165000-04:00,0.1,2,304,[209]
O:SPY240322P00470000,2024-03-15,1710519616688,2024-03-15T12:20:16.688000-04:00,0.1,1,300,[209]
O:SPY240322P00470000,2024-03-15,1710519584251,2024-03-15T12:19:44.251000-04:00,0.09,1,313,[209]
O:SPY240322P00470000,2024-03-15,1710519357801,2024-03-15T12:15:57.801000-04:00,0.09,25,301,[219]
O:SPY240322P00470000,2024-03-15,1710516136521,2024-03-15T11:22:16.521000-04:00,0.09,2,309,[219]
O:SPY240322P00470000,2024-03-15,1710515304044,2024-03-15T11:08:24.044000-04:00,0.09,5,315,[209]
O:SPY240322P00470000,2024-03-15,1710515304044,2024-03-15T11:08:24.044000-04:00,0.09,5,313,[209]
O:SPY240322P00470000,2024-03-15,1710514630051,2024-03-15T10:57:10.051000-04:00,0.08,1,301,[209]
O:SPY240322P00470000,2024-03-15,1710514331260,2024-03-15T10:52:11.260000-04:00,0.08,1,302,[232]
O:SPY240322P00470000,2024-03-15,1710513923864,2024-03-15T10:45:23.864000-04:00,0.08,1,300,[209]
O:SPY240322P00470000,2024-03-15,1710513821560,2024-03-15T10:43:41.560000-04:00,0.09,11,302,[209]
O:SPY240322P00470000,2024-03-15,1710513821560,2024-03-15T10:43:41.560000-04:00,0.09,11,302,[209]
O:SPY240322P00470000,2024-03-15,1710513402007,2024-03-15T10:36:42.007000-04:00,0.1,5,300,[227]
