ticker,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
SPY,1710266880000,2024-03-12T14:08:00-04:00,515.72,515.81,515.71,515.7819,37820,515.771,550,
SPY,1710266940000,2024-03-12T14:09:00-04:00,515.78,515.9,515.76,515.85,58516,515.8409,801,
SPY,1710267000000,2024-03-12T14:10:00-04:00,515.8399,516.06,515.8399,516.02,130383,515.9905,1487,
SPY,1710267060000,2024-03-12T14:11:00-04:00,516.02,516.18,516,516.149,121971,516.0884,1157,
SPY,1710267120000,2024-03-12T14:12:00-04:00,516.1401,516.29,516.12,516.14,118278,516.1928,1249,
SPY,1710267180000,2024-03-12T14:13:00-04:00,516.14,516.15,515.94,515.96,98544,516.0565,1043,
SPY,1710267240000,2024-03-12T14:14:00-04:00,515.95,516.02,515.7501,515.805,157798,515.9244,1606,
SPY,1710267300000,2024-03-12T14:15:00-04:00,515.8,515.93,515.79,515.885,96866,515.8529,1073,
SPY,1710267360000,2024-03-12T14:16:00-04:00,515.89,515.9999,515.89,515.91,54400,515.9425,685,
SPY,1710267420000,2024-03-12T14:17:00-04:00,515.92,515.93,515.84,515.92,45464,515.8871,699,
SPY,1710267480000,2024-03-12T14:18:00-04:00,515.93,515.94,515.83,515.89,47971,515.8906,681,
SPY,1710267540000,2024-03-12T14:19:00-04:00,515.89,516.02,515.82,516,107757,515.9388,953,
SPY,1710267600000,2024-03-12T14:20:00-04:00,516.01,516.07,515.98,516.02,63587,516.0126,785,
SPY,1710267660000,2024-03-12T14:21:00-04:00,516.015,516.17,516,516.135,99330,516.0899,1076,
SPY,1710267720000,2024-03-12T14:22:00-04:00,516.13,516.31,516.115,516.24,117759,516.2549,1477,
SPY,1710267780000,2024-03-12T14:23:00-04:00,516.24,516.2913,516.1801,516.185,125305,516.2454,1108,
SPY,1710267840000,2024-03-12T14:24:00-04:00,516.1823,516.24,516.12,516.17,132160,516.1751,1274,
SPY,1710267900000,2024-03-12T14:25:00-04:00,516.18,516.22,516.09,516.14,88184,516.1441,1020,
SPY,1710267960000,2024-03-12T14:26:00-04:00,516.14,516.21,516.12,516.21,36663,516.1637,522,
SPY,1710268020000,2024-03-12T14:27:00-04:00,516.2,516.2101,516.13,516.2,48291,516.1766,596,
SPY,1710268080000,2024-03-12T14:28:00-04:00,516.2,516.27,516.12,516.265,112619,516.1837,1035,
SPY,1710268140000,2024-03-12T14:29:00-04:00,516.27,516.45,516.27,516.4304,107352,516.3338,1203,
SPY,1710268200000,2024-03-12T14:30:00-04:00,516.44,516.46,516.38,516.41,64917,516.4232,871,
SPY,1710268260000,2024-03-12T14:31:00-04:00,516.41,516.55,516.37,516.51,137340,516.4793,1164,
SPY,1710268320000,2024-03-12T14:32:00-04:00,516.505,516.825,516.505,516.74,340893,516.7256,3270,
SPY,1710268380000,2024-03-12T14:33:00-04:00,516.75,516.8101,516.61,516.67,127399,516.7277,1302,
SPY,1710268440000,2024-03-12T14:34:00-04:00,516.67,516.71,516.6187,516.69,77016,516.6617,900,
SPY,1710268500000,2024-03-12T14:35:00-04:00,516.695,516.81,516.68,516.74,72634,516.7448,1042,
SPY,1710268560000,2024-03-12T14:36:00-04:00,516.73,516.73,516.67,516.71,117642,516.6987,1023,
SPY,1710268620000,2024-03-12T14:37:00-04:00,516.72,516.75,516.45,516.52,185749,516.5636,1630,
SPY,1710268680000,2024-03-12T14:38:00-04:00,516.52,516.5299,516.3,516.35,195725,516.4078,1780,
SPY,1710268740000,2024-03-12T14:39:00-04:00,516.355,516.5494,516.355,516.515,147599,516.4513,1114,
SPY,1710268800000,2024-03-12T14:40:00-04:00,516.52,516.525,516.38,516.45,107255,516.4652,1261,
SPY,1710268860000,2024-03-12T14:41:00-04:00,516.44,516.4699,516.0301,516.0914,151625,516.2513,1617,
SPY,1710268920000,2024-03-12T14:42:00-04:00,516.1,516.14,515.97,515.98,155429,516.0659,1726,
SPY,1710268980000,2024-03-12T14:43:00-04:00,515.99,516,515.58,515.63,271950,515.7552,2493,
SPY,1710269040000,2024-03-12T14:44:00-04:00,515.62,515.821,515.6094,515.65,151334,515.7288,1321,
SPY,1710269100000,2024-03-12T14:45:00-04:00,515.66,516,515.62,515.98,424560,513.0725,1396,
SPY,1710269160000,2024-03-12T14:46:00-04:00,515.98,515.98,515.86,515.91,71383,515.9125,698,
SPY,1710269220000,2024-03-12T14:47:00-04:00,515.9,516.4,515.89,516.395,179119,516.2163,1637,
SPY,1710269280000,2024-03-12T14:48:00-04:00,516.41,516.41,516.255,516.3699,66968,516.3151,713,
SPY,1710269340000,2024-03-12T14:49:00-04:00,516.37,516.52,516.35,516.45,86274,516.4351,837,
SPY,1710269400000,2024-03-12T14:50:00-04:00,516.47,516.53,516.42,516.44,66239,516.4662,765,
SPY,1710269460000,2024-03-12T14:51:00-04:00,516.45,516.55,516.44,516.53,70156,516.5048,745,
SPY,1710269520000,2024-03-12T14:52:00-04:00,516.53,516.7742,516.52,516.74,98860,516.6975,1133,
SPY,1710269580000,2024-03-12T14:53:00-04:00,516.745,516.865,516.7212,516.78,132930,516.7971,1070,
SPY,1710269640000,2024-03-12T14:54:00-04:00,516.79,516.83,516.685,516.7278,68844,516.7638,883,
SPY,1710269700000,2024-03-12T14:55:00-04:00,516.72,516.8113,516.6,516.7975,105636,516.7161,971,
SPY,1710269760000,2024-03-12T14:56:00-04:00,516.8,516.82,516.73,516.75,52472,516.7703,641,
SPY,1710269820000,2024-03-12T14:57:00-04:00,516.76,516.78,516.71,516.78,583622,516.7017,911,
SPY,1710269880000,2024-03-12T14:58:00-04:00,516.78,517.12,516.76,516.93,188848,516.9083,1855,
SPY,1710269940000,2024-03-12T14:59:00-04:00,516.92,516.95,516.73,516.75,204443,516.812,1572,
SPY,1710270000000,2024-03-12T15:00:00-04:00,516.7423,516.82,516.48,516.53,143618,516.6863,1251,
SPY,1710270060000,2024-03-12T15:01:00-04:00,516.54,516.68,516.53,516.6,199533,516.6048,1691,
