option,date,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240315C00470000,2024-03-13,1710354952000,2024-03-13T14:35:52-04:00,47.2,47.2,47.2,47.2,1,47.2,1,
O:SPY240315C00470000,2024-03-13,1710355037000,2024-03-13T14:37:17-04:00,47.12,47.12,47.12,47.12,7,47.12,1,
O:SPY240315C00470000,2024-03-13,1710355405000,2024-03-13T14:43:25-04:00,47,47,47,47,1,47,1,
O:SPY240315C00470000,2024-03-13,1710355702000,2024-03-13T14:48:22-04:00,47.01,47.01,47.01,47.01,1,47.01,1,
O:SPY240315C00470000,2024-03-13,1710358073000,2024-03-13T15:27:53-04:00,46.16,46.16,46.16,46.16,1,46.16,1,
O:SPY240315C00470000,2024-03-13,1710359412000,2024-03-13T15:50:12-04:00,46.36,46.38,46.36,46.38,10,46.366,2,
O:SPY240315C00470000,2024-03-14,1710423001000,2024-03-14T09:30:01-04:00,46.94,46.94,46.93,46.93,2,46.935,2,
O:SPY240315C00470000,2024-03-14,1710423093000,2024-03-14T09:31:33-04:00,46.78,46.78,46.78,46.78,1,46.78,1,
O:SPY240315C00470000,2024-03-14,1710423212000,2024-03-14T09:33:32-04:00,46.64,46.64,46.64,46.64,5,46.64,3,
O:SPY240315C00470000,2024-03-14,1710423344000,2024-03-14T09:35:44-04:00,46.82,46.82,46.82,46.82,1,46.82,1,
O:SPY240315C00470000,2024-03-14,1710423395000,2024-03-14T09:36:35-04:00,46.74,46.74,46.74,46.74,14,46.74,1,
O:SPY240315C00470000,2024-03-14,1710424433000,2024-03-14T09:53:53-04:00,44.19,44.19,44.19,44.19,1,44.19,1,
O:SPY240315C00470000,2024-03-14,1710424602000,2024-03-14T09:56:42-04:00,44.21,44.21,44.21,44.21,1,44.21,1,
O:SPY240315C00470000,2024-03-14,1710425018000,2024-03-14T10:03:38-04:00,43.76,44.02,43.76,44.02,8,43.8575,4,
O:SPY240315C00470000,2024-03-14,1710425019000,2024-03-14T10:03:39-04:00,43.76,44.11,43.76,44.11,4,43.935,4,
O:SPY240315C00470000,2024-03-14,1710425136000,2024-03-14T10:05:36-04:00,44.15,44.15,44.15,44.15,1,44.15,1,
O:SPY240315C00470000,2024-03-14,1710425404000,2024-03-14T10:10:04-04:00,44.42,44.42,44.42,44.42,1,44.42,1,
O:SPY240315C00470000,2024-03-14,1710427270000,2024-03-14T10:41:10-04:00,44.8,44.8,44.8,44.8,1,44.8,1,
O:SPY240315C00470000,2024-03-14,1710427297000,2024-03-14T10:41:37-04:00,44.63,44.63,44.63,44.63,1,44.63,1,
O:SPY240315C00470000,2024-03-14,1710427714000,2024-03-14T10:48:34-04:00,45.12,45.12,45.12,45.12,47,45.12,1,
O:SPY240315C00470000,2024-03-14,1710429006000,2024-03-14T11:10:06-04:00,44.89,44.89,44.89,44.89,45,44.89,1,
